16999,CSCE ,522,30 - Columbia Full Term ,Information Security Principles ,MW ,9,Csilla Farkas (P) 
13075,CSCE ,522,30 - Columbia Full Term ,HNRS: Information Security Principles ,MW ,3,Csilla Farkas (P) 
15572,CSCE ,552,30 - Columbia Full Term ,Computer Game Development ,F ,27,Jijun Tang (P) 
17775,CSCE ,552,30 - Columbia Full Term ,HNRS: Computer Game Development ,F ,3,Jijun Tang (P) 
27165,CSCE ,565,30 - Columbia Full Term ,Introduction to Computer Graphics ,MW ,31,Yan Tong (P) 
27166,CSCE ,565,30 - Columbia Full Term ,HNRS: Introduction to Computer Graphics ,MW ,3,Yan Tong (P) 
17955,CSCE ,572,30 - Columbia Full Term ,Human-Computer Interaction ,TR ,42,Jenay Michelle Beer (P) 
19536,CSCE ,572,30 - Columbia Full Term ,HNRS: Human-Computer Interaction ,TR ,3,Jenay Michelle Beer (P) 
24829,CSCE ,574,30 - Columbia Full Term ,Robotics ,MW ,32,Ioannis M Rekleitis (P) 
24832,CSCE ,574,30 - Columbia Full Term ,HNRS: Robotics ,MW ,3,Ioannis M Rekleitis (P) 
19533,CSCE ,587,30 - Columbia Full Term ,Big Data Analytics ,TR ,21,John R. Rose (P) 
19534,CSCE ,587,30 - Columbia Full Term ,HNRS: Big Data Analytics ,TR ,2,John R. Rose (P) 
14537,CSCE ,590,30 - Columbia Full Term ,Topic: Penetration Testing ,TR ,24,Veronica L. Wilkinson (P) 
24840,CSCE ,590,30 - Columbia Full Term ,HNRS: Topic: Penetration Testing ,TR ,3,Veronica L. Wilkinson (P) 
13079,CSCE ,611,30 - Columbia Full Term ,Advanced Digital Design ,MW ,30,Jason Daniel Bakos (P) 
19648,CSCE ,740,30 - Columbia Full Term ,Software Engineering ,TR ,22,Gregory James Gay (P) 
28779,CSCE ,740,30 - Columbia Full Term ,Software Engineering ,TR ,25,Gregory James Gay (P) 
19649,CSCE ,740,30 - Columbia Full Term ,Software Engineering ,TR ,22,Gregory James Gay (P) 
27162,CSCE ,743,30 - Columbia Full Term ,Software Requirements ,MW ,22,Sreenivasara Guntupalli (P) 
27163,CSCE ,743,30 - Columbia Full Term ,Software Requirements ,MW ,23,Sreenivasara Guntupalli (P) 
13087,CSCE ,750,30 - Columbia Full Term ,Analysis of Algorithms ,TR ,50,Jason Matthew Okane (P) 
17209,CSCE ,750,30 - Columbia Full Term ,Analysis of Algorithms ,TR ,28,Jason Matthew Okane (P) 
28320,CSCE ,790,30 - Columbia Full Term ,Topics in Information Technology ,TR ,20,Jason Matthew Okane (P)
